title,overview,original_language,release_date,vote_average,popularity,vote_count
Police Academy: Mission to Moscow,"The Russians seek help in dealing with the Mafia from the veterans of the Police Academy. They head off to Moscow, in order to find evidence against Konstantin Konali, who marketed a computer game that everyone in the world is playing.",en,1994-06-09,4.638,2.3354,905
"Recently, My Sister is Unusual","Mitsuki and Yuya become stepsister and stepbrother because of their parents' marriage. Mitsuki can't get along with her new family and Yuya doesn't know how to approach his new stepsister. One day, Mitsuki becomes possessed by the spirit of Hiyori.  Hiyori likes Yuya and believes Yuya can help her get to heaven. Hiyori places a leather chastity belt upon on Mitsuki and a plan takes place to help send Hiyori to heaven.",ja,2014-05-17,7.043,2.3898,69
"Tad, the Lost Explorer, and the Secret of King Midas","Tad dreams of becoming an archaeologist traveling the world, uncovering hidden secrets and lost treasure, but his job working construction keeps him daydreaming instead of exploring. The chance of a lifetime comes when he is invited to attend archaeologist Sara Lavrof's presentation of her latest discovery - the papyrus that proves the existence of the Necklace of Midas, the legendary King who turned everything he touched into solid gold.",es,2017-03-25,6.7,2.3841,413
Before Dawn,"After leaving his family's sheep farm in the Australian outback, a young man joins his countrymen on the western front of World War I with hopes of helping expedite an end to the bloody conflict. But as war rages on, he is forced to grapple with the brutal realities of trench warfare, including a near-constant battle to keep himself alive—without leaving another man behind. Inspired by the real-life diary entries of local ANZACs, the feature film details the untold story of some of Australia’s greatest military victories.",en,2024-04-04,6.9,2.5408,75
Mr. Popper's Penguins,"Tom Popper is a successful businessman who’s clueless when it comes to the really important things in life...until he inherits six “adorable” penguins, each with its own unique personality. Soon Tom’s rambunctious roommates turn his swank New York apartment into a snowy winter wonderland — and the rest of his world upside-down.",en,2011-06-17,5.968,2.956,3019
The Net,"Angela Bennett is a freelance computer systems analyst who tracks down software viruses. At night she hooks up to the internet and chats to others 'surfing the net'. While de-bugging a new high-tech game for a cyber friend, she comes across a top secret program and becomes the target of a mysterious organization who will stop at nothing to erase her identity and her existence, in order to protect the project.",en,1995-07-28,6.02,2.6696,1406
Doraemon: Nobita's Dorabian Nights,"With Doraemon's ""Storybook Shoes"" gadget, he and Nobita go to different stories to watch them. Nobita asks Doraemon to allow him to share this gadget with Shizuka and Doraemon agrees.",ja,1991-03-09,7.156,2.4011,61
Dali's Greatest Secret,"History -  Revealing, touching and puzzling, Dali's Greatest Secret takes us on the spiritual journey of history's greatest surrealist artist. -  Glen Baggerly, Eddie Eagle, Christy Lynn",en,2014-01-01,6.0,2.4761,1
Gretel & Hansel,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",en,2020-01-30,5.988,2.6952,1466
Ramayana: The Legend of Prince Rama,"In Ayodhya, the royal palace of Kosala Kingdom in Ancient India, four princes were born to three queens, each of whom grew to great stature. Banished for 14 years due to court intrigue, Prince Rama retreated to the forest with his beautiful wife Sita. When Rama vanquishes the demons of the forest, he invites the wrath of the demon king Ravana, who kidnaps Sita. Based on the Indian epic the Ramayana.",en,1993-01-10,8.4,2.2089,43
High Tension,"Best friends Marie and Alexia decide to spend a quiet weekend at Alexia's parents' secluded farmhouse. But on the night of their arrival, the girls' idyllic getaway turns into an endless night of horror.",fr,2003-06-18,6.76,2.6835,1362
"To Me, the One Who Loved You","Koyomi Hidaka and Shiori Sato meet at his father’s research center and begin to fall in love, but so do their parents, who eventually marry. To avoid becoming stepsiblings, they decide to run away to a parallel universe. Traveling between dimensions is common in their world, but not without repercussions. Does a universe exist for the young couple, and what will it cost them to find it?",ja,2022-10-07,5.944,2.3893,72
He Loves Me,"When Laura begins to suspect her husband is cheating on her, she is devastated by his infidelity, despite having a torrid affair of her own. While she desperately tries to save her marriage, Laura's mysterious past begins to emerge, making her more paranoid, delusional and violent in alarming ways. As her mental state continues to unravel, whoever gets in the way of Laura's myriad of fantasies becomes expendable, revealing the shocking dream world that insulates her from reality.",en,2011-03-07,4.143,1.1818,7
Secret Society of Second Born Royals,"Sam is a teenage royal rebel, second in line to the throne of the kingdom of Illyria. Just as her disinterest in the royal way of life is at an all-time high, she discovers she has super-human abilities and is invited to join a secret society of similar extraordinary second-born royals charged with keeping the world safe.",en,2020-09-25,6.666,1.9724,544
Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",en,1994-09-28,7.5,2.3528,2381
Planes: Fire & Rescue,"When world-famous air racer Dusty learns that his engine is damaged and he may never race again, he must shift gears and is launched into the world of aerial firefighting. Dusty joins forces with veteran fire and rescue helicopter Blade Ranger and his team, a bunch of all-terrain vehicles known as The Smokejumpers. Together, the fearless team battles a massive wildfire, and Dusty learns what it takes to become a true hero.",en,2014-07-17,6.2,2.7447,868
Kim Possible Movie: So the Drama,"Dr. Drakken has an evil new plot for world domination, but his ultimate success depends upon finding out KP's weakness which may involve a new hottie at Middleton High School named Eric, who suddenly sparks feelings in Ron about Kim that resemble much more than friendship. To make matters worse, Bueno Nacho, Ron's favorite fast food chain has turned sour on him by bombarding him with little Devils",en,2005-04-08,6.905,2.62,185
Angel Cop,"In the late twentieth century, the Secret Security Force was formed to stop the actions of the communist terrorist group known as the Red May. Angel, a beautiful, yet cold woman, has recently joined the small anti-terrorist group. But her first mission will be a true test of skill, for members of the Red May are being found dead, murdered by gruesome methods. Who is causing these murders? And why? Written by Chuck ""Dark-Side"" Williamson",ja,1989-09-01,6.135,2.3163,26
Double Dhamaal,Four slackers decide to avenge their humiliation at the hands of a con-man.,hi,2011-06-24,4.6,1.445,43
Kucing Liar Part 2,,id,2023-08-06,0.0,2.2396,0
"Crouching Tiger, Hidden Dragon: Sword of Destiny","A story of lost love, young love, a legendary sword and one last opportunity at redemption.",en,2016-02-18,6.149,2.7973,670
New Year's Eve,The lives of several couples and singles in New York intertwine over the course of New Year's Eve.,en,2011-12-08,5.9,2.6599,2161
Dark Angel,"Jack Caine is a Houston vice cop who's forgotten the rule book. His self-appointed mission is to stop the drugs trade and the number one supplier Victor Manning. Whilst involved in an undercover operation to entrap Victor Manning, his partner gets killed, and a sinister newcomer enters the scene...",en,1990-01-26,5.941,2.3773,331
New Year's Eve,The lives of several couples and singles in New York intertwine over the course of New Year's Eve.,en,2011-12-08,5.9,2.6599,2161
Dark Angel,"Jack Caine is a Houston vice cop who's forgotten the rule book. His self-appointed mission is to stop the drugs trade and the number one supplier Victor Manning. Whilst involved in an undercover operation to entrap Victor Manning, his partner gets killed, and a sinister newcomer enters the scene...",en,1990-01-26,5.941,2.3773,331
The Misfits,"While filing for a divorce, beautiful ex-stripper Roslyn Taber ends up meeting aging cowboy-turned-gambler Gay Langland and former World War II aviator Guido Racanelli. The two men instantly become infatuated with Roslyn and, on a whim, the three decide to move into Guido's half-finished desert home together. When grizzled ex-rodeo rider Perce Howland arrives, the unlikely foursome strike up a business capturing wild horses.",en,1961-02-01,6.9,2.9041,393
